Idade;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
0;0;15470;161,5;208;179,4;231,1;321;404;0;0;0;0;183,5;0;269;128;274;38;200;41,51;39,11;34,38;33,72;35,45253;37,07975;29,26024;35,2673;832;2258;708;394,21;620;442,95;708;548;633;418;0;221,9;325,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2489,052379;2403,581217;2329,518299;2246,729072;0;3602;0;0;0;129,5;0;0;0;0;0;0;0;0;0;0;46200;0;0;0;0;0;0;0;0;0;0;0;0;710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;5366,8097;67,89018;81,33048;75,364553;90,3906234;135,56344;157,36168;0;0;0;0;77,657237;0;105,016743;45,94112;94,7397;37,98556;68,862;18,42234971;20,24208023;15,26475017;15,6747127;22,55276164;24,19952355;19,20555876;22,63064597;205,27776;563,97134;174,75392;153,4028772;165,9646;163,273562;174,75392;93,48488;99,367;106,55274;0;93,791414;126,985313;0;0;0;0;53,1;59,2;0;0;0;0;0;0;0;0;223,5;213;223,7841484;210,3335222;0;2649,98102;57,1;63,7;0;129,3322975;0;0;0;0;57,1;63,7;0;0;0;0;24156,2;0;0;0;0;0;0;0;0;0;0;0;0;682,1223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;2810,293256;35,21902527;45,26864396;39,1001323;50,23796873;69,9790359;88,20207219;0;0;0;0;40,09501479;0;58,8789561;24,95651472;47,82300494;19,98480289;34,9058983;10,47371909;13,49198747;11,58424617;9,405351958;19,52218952;21,27894242;15,44806934;19,62359176;177,1432728;402,3170387;150,658214;137,2542395;139,8917899;148,1066663;150,658214;66,57020513;74,45072475;98,48069279;0;48,44657397;71,176473;0;0;0;0;34,5816274;39,97632;0;0;0;0;0;0;0;0;122,091299;116,6713614;115,7554932;110,4592168;0;1954,646196;37,1787588;42,972609;0;129,1648122;0;0;0;0;37,1787588;42,972609;0;0;0;0;12924,6968;0;0;0;0;0;0;0;0;0;0;0;0;655,7423867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;1825,597768;26,030937;36,57720212;28,91477924;40,64833473;51,82567137;71,03556192;0;0;0;0;29,71022683;0;47,39394165;15,96817638;29,87503119;12,98752385;21,93317106;7,314846276;10,67222025;7,905156786;6,875954556;18,0000342;19,89487158;13,41153269;18,12467857;169,9111958;327,1019053;144,4912183;131,0959754;133,7500939;141,9213078;144,4912183;59,57516695;67,45136395;97,38942724;0;35,86891032;57,29837081;0;0;0;0;25,77737814;33,16707346;0;0;0;0;0;0;0;0;89,56058412;85,61346791;75,75937773;73,07858472;0;1445,745621;27,77379051;35,66191788;0;128,9975437;0;0;0;0;27,77379051;35,66191788;0;0;0;0;7072,180654;0;0;0;0;0;0;0;0;0;0;0;0;630,8117514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;1319,133197;20,83925621;31,9808524;23,12511516;35,55278144;41,65766375;62,24818423;0;0;0;0;23,92056901;0;41,49971922;11,9742161;21,9017837;9,989104211;15,94788783;5,995336745;9,472082656;5,756017873;5,816177656;17,09496399;19,14225805;12,13399008;17,25208324;162,7158518;288,3813431;138,3509353;125,4678067;127,6331076;136,2577438;138,3509353;52,59315597;60,46669586;94,31559828;0;28,883998;50,20661512;0;0;0;0;19,37798895;25,86572306;0;0;0;0;0;0;0;0;67,89457664;64,0077227;55,20757788;53,71136422;0;1072,426334;20,77461307;27,760431;0;128,8304919;0;0;0;0;20,77461307;27,760431;0;0;0;0;3955,238244;0;0;0;0;0;0;0;0;0;0;0;0;607,285059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;995,6310587;17,04673702;28,98268126;18,83462403;32,25487077;33,68981125;56,15690832;0;37;46;21,5;19,33115269;41,9;37,50328541;9,977315997;17,91569889;7,990484241;12,95558564;5,505387235;9,051575254;4,936300426;5,426117974;16,53104134;18,74417021;11,30849443;16,71869355;156,5401936;265,4022303;133,2230567;120,3561615;122,5278229;131,1319252;133,2230567;46,614495;54,48589532;89,26673539;0;23,29963953;45,31218795;17,1;19;38;34,2;17,47675353;23,66250444;0;0;0;0;0;0;0;0;46,49860081;45,51142031;42,92810109;42,05780586;0;800,7985514;18,77314849;25,45662579;0;128,6636564;0;0;0;0;18,77314849;25,45662579;0;0;0;0;2259,598668;0;0;0;0;0;0;0;0;0;0;0;0;585,1199329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;821,0565232;14,05367781;26,88332224;15,54310068;29,95546444;27,61826706;52,15868368;0;37,98594;41,98068;17,796173;15,94012573;38,8837009;34,80424757;8,978686439;15,92219917;6,991114377;11,95744745;5,425155265;9,080724569;4,706240173;5,385854103;16,19544596;18,59314979;10,86580971;16,39497175;150,3935099;250,2854962;128,1156795;115,7577091;117,4413768;126,5204229;128,1156795;40,64459646;48,51528138;85,22255553;0;19,21272723;42,11317292;13,997606;15,597036;35,286586;31,7891244;16,27549886;22,65871514;0;0;0;0;0;0;0;0;37,37860437;36,12339095;34,98724371;34,47016739;0;607,8191436;17,57155835;24,35228541;0;128,497037;0;0;0;0;17,57155835;24,35228541;0;0;0;0;1317,920884;0;0;0;0;0;0;0;0;0;0;0;0;564,276752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;696,0669153;11,75957558;25,58203104;13,05018302;28,45409995;23,24056787;49,55441845;0;38,97075548;39,96480773;14,89414487;13,34771932;36,97011003;33,10216573;8,977878357;14,92467339;6,990624999;10,95967818;5,574718709;9,369576881;4,745984696;5,545432119;16,05979328;18,63728212;10,88572428;16,26733302;145,256107;236,2420154;124,0122328;112,1634867;113,3587099;122,8937488;124,0122328;35,6733063;43,54339574;79,2086178;0;16,12363267;40,01040737;11,79633048;13,09546779;33,57537571;30,18007128;15,27451185;21,65561692;0;0;0;0;0;0;0;0;30,42812361;29,16906709;29,69438142;29,3710169;0;474,4795489;16,47043664;23,34854249;0;128,3306333;0;0;0;0;16,47043664;23,34854249;0;0;0;0;784,3551225;0;0;0;0;0;0;0;0;0;0;0;0;544,7184584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;610,1014019;11,75818795;29,25752607;13,04847344;32,62334112;20,55415309;48,24187057;0;39,95441732;38,95010126;14,89192564;13,34593073;39,05395826;34,97922593;8,977070348;14,92243469;7,988726463;10,95847262;5,874106975;9,858107613;4,955571777;5,834869583;16,18941662;18,91465351;11,47498367;16,3116765;142,1011051;220,3931698;120,9070255;110,0718463;110,2745644;120,2662137;120,9070255;31,69819014;39,56748786;75,18798836;0;14,23028365;38,9026278;10,39553903;11,59446767;32,66505614;29,37172626;13,67508467;20,05453662;0;0;0;0;0;0;0;0;27,25213108;26,07654098;26,27097176;26,02632123;0;387,1470189;14,67124058;21,54745748;0;128,1644452;0;0;0;0;14,67124058;21,54745748;0;0;0;0;476,0718469;0;0;0;0;0;0;0;0;0;0;0;0;526,4103754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;553,6739504;12,05570219;32,33299461;13,34554495;35,99321927;19,16005018;47,72332158;0;40,93689644;38,93491072;15,08956858;13,54330868;40,83586562;36,55631839;10,97098739;15,91487608;8,986598285;11,95338238;6,263347805;10,50628735;5,255043277;6,234154089;16,73285987;19,57159911;12,69530618;16,60224684;138,9592986;201,7983596;118,7947601;109,4363841;109,1675653;119,1446809;118,7947601;29,7075438;36,5852863;73,15371798;0;13,33276454;38,58977049;9,694830921;10,79359701;32,35479325;29,16334205;12,97457995;19,35222935;0;0;0;0;0;0;0;0;26,45537023;25,27446061;24,40691704;24,13344836;0;337,5792315;13,9705561;20,84465683;0;127,9984722;0;0;0;0;13,9705561;20,84465683;0;0;0;0;294,5395346;0;0;0;0;0;0;0;0;0;0;0;0;509,320035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
