ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT
0;0;0.0071;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00687;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00665;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00644;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00624;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00605;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00587;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.0057;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00554;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00539;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00525;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00512;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00489;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.00479;0;0.00104;0;0;0;0;0;0;0;0;0;0;0
0.000575;0.00031;0.0047;0.2762;0.00104;0.0071;0.00013;0.00007;0;0;0;0;0;0.00036;0.00022;0
0.000573;0.00032;0.00462;0.2231;0.00105;0.0062;0.00016;0.00009;0;0;0;0.0018;0.0012;0.00037;0.00024;0
0.000572;0.00033;0.00455;0.1825;0.00111;0.0067;0.0002;0.00011;0;0;0;0.0018;0.0012;0.00038;0.00025;0
0.00057;0.00035;0.00448;0.1467;0.00116;0.0065;0.00025;0.00013;0;0;0;0.0018;0.0012;0.0004;0.00026;0
0.000569;0.00038;0.00441;0.1174;0.00121;0.0063;0.0003;0.00016;0;0;0;0.0018;0.0012;0.00043;0.00028;0
0.000569;0.0004;0.00435;0.0967;0.00123;0.0062;0.00036;0.00019;0.00076;0;0.00004;0.0018;0.0012;0.00046;0.0003;0.0002
0.000569;0.00043;0.0043;0.0824;0.00129;0.006;0.00043;0.00023;0.00082;0;0.00008;0.0018;0.0012;0.00049;0.00031;0.00023
0.000569;0.00046;0.00424;0.0728;0.00132;0.0059;0.00051;0.00027;0.00088;0;0.00011;0.0018;0.0012;0.00052;0.00034;0.00026
0.00057;0.00049;0.0042;0.0665;0.00136;0.0057;0.0006;0.00032;0.00092;0;0.00014;0.0018;0.0012;0.00055;0.00036;0.0003
0.000572;0.00052;0.00415;0.062;0.00138;0.0056;0.0007;0.00037;0.00096;0;0.00018;0.0018;0.0012;0.00058;0.0004;0.00034
