Idade;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
0;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
1;100000,0000;84530,0000;99838,5000;99792,0000;99820,6000;99768,9000;99679,0000;99596,0000;100000,0000;100000,0000;100000,0000;100000,0000;99816,5000;100000,0000;99731,0000;99872,0000;99726,0000;99962,0000;99800,0000;99958,4900;99960,8900;99965,6200;99966,2800;99964,5475;99962,9203;99970,7398;99964,7327;99168,0000;97742,0000;99292,0000;99605,7900;99380,0000;99557,0500;99292,0000;99452,0000;99367,0000;99582,0000;100000,0000;99778,1000;99674,5000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97510,9476;97596,4188;97670,4817;97753,2709;100000,0000;96398,0000;100000,0000;100000,0000;100000,0000;99870,5000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;53800,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;99290,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
2;100000,0000;79163,1903;99770,6098;99710,6695;99745,2354;99678,5094;99543,4366;99438,6383;100000,0000;100000,0000;100000,0000;100000,0000;99738,8428;100000,0000;99625,9833;99826,0589;99631,2603;99924,0144;99731,1380;99940,0677;99940,6479;99950,3552;99950,6053;99941,9947;99938,7208;99951,5342;99942,1021;98962,7222;97178,0287;99117,2461;99452,3871;99214,0354;99393,7764;99117,2461;99358,5151;99267,6330;99475,4473;100000,0000;99684,3086;99547,5147;100000,0000;100000,0000;100000,0000;100000,0000;99946,9000;99940,8000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97287,4476;97383,4188;97446,6976;97542,9374;100000,0000;93748,0190;99942,9000;99936,3000;100000,0000;99741,1677;100000,0000;100000,0000;100000,0000;100000,0000;99942,9000;99936,3000;100000,0000;100000,0000;100000,0000;100000,0000;29643,8000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;98607,8777;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
3;100000,0000;76352,8970;99735,3908;99665,4009;99706,1353;99628,2714;99473,4576;99350,4362;100000,0000;100000,0000;100000,0000;100000,0000;99698,7478;100000,0000;99567,1043;99801,1024;99583,4373;99904,0296;99696,2321;99929,5940;99927,1559;99938,7710;99941,1999;99922,4725;99917,4419;99936,0861;99922,4785;98785,5789;96775,7117;98966,5879;99315,1329;99074,1436;99245,6697;98966,5879;99291,9449;99193,1823;99376,9666;100000,0000;99635,8620;99476,3382;100000,0000;100000,0000;100000,0000;100000,0000;99912,3184;99900,8237;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97165,3563;97266,7474;97330,9421;97432,4782;100000,0000;91793,3728;99905,7212;99893,3274;100000,0000;99612,0029;100000,0000;100000,0000;100000,0000;100000,0000;99905,7212;99893,3274;100000,0000;100000,0000;100000,0000;100000,0000;16719,1032;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97952,1353;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
4;100000,0000;74527,2992;99709,3599;99628,8237;99677,2205;99587,6231;99421,6319;99279,4006;100000,0000;100000,0000;100000,0000;100000,0000;99669,0376;100000,0000;99519,7104;99785,1342;99553,5623;99891,0421;99674,2989;99922,2792;99916,4837;99930,8658;99934,3239;99904,4725;99897,5470;99922,6746;99904,3538;98615,6677;96448,6098;98822,0967;99184,0369;98940,3935;99103,7484;98822,0967;99232,3697;99125,7309;99279,5772;100000,0000;99599,9931;99419,0398;100000,0000;100000,0000;100000,0000;100000,0000;99886,5410;99867,6566;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97075,7957;97181,1339;97255,1827;97359,3996;100000,0000;90347,6272;99877,9474;99857,6655;100000,0000;99483,0054;100000,0000;100000,0000;100000,0000;100000,0000;99877,9474;99857,6655;100000,0000;100000,0000;100000,0000;100000,0000;9646,9225;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97321,3235;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
5;100000,0000;73208,1660;99688,5206;99596,8428;99654,0954;99552,0703;99379,9742;99217,1524;100000,0000;100000,0000;100000,0000;100000,0000;99645,1170;100000,0000;99478,2107;99773,1600;99531,6605;99881,0530;99658,3510;99916,2839;99907,0116;99925,1098;99928,5077;99887,3775;99878,4047;99910,5406;99887,1017;98452,9518;96160,2285;98683,7458;99058,5691;98812,7604;98967,4907;98683,7458;99179,7765;99065,2642;99185,2616;100000,0000;99571,1091;99368,8332;100000,0000;100000,0000;100000,0000;100000,0000;99867,1630;99841,7909;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;97007,9011;97117,1262;97199,9751;97305,6882;100000,0000;89275,2009;99857,1728;99829,9051;100000,0000;99354,1749;100000,0000;100000,0000;100000,0000;100000,0000;99857,1728;99829,9051;100000,0000;100000,0000;100000,0000;100000,0000;5691,6843;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96714,0384;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
6;100000,0000;72212,5349;99671,4739;99567,8601;99635,2608;99519,8154;99346,2844;99160,9955;100000,0000;99963,0000;99954,0000;99978,5000;99625,7858;99958,1000;99440,7074;99763,1827;99513,7448;99873,0625;99645,3954;99910,7785;99897,9600;99920,1735;99923,0816;99870,8465;99859,6605;99899,2321;99870,3830;98296,4116;95894,8263;98550,5227;98938,2129;98690,2326;98836,3588;98550,5227;99133,1620;99010,7783;99095,9949;100000,0000;99547,8095;99323,5210;99982,9000;99981,0000;99962,0000;99965,8000;99849,6862;99818,1284;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96961,4025;97071,6148;97157,0470;97263,6304;100000,0000;88474,4023;99838,3997;99804,4485;100000,0000;99225,5112;100000,0000;100000,0000;100000,0000;100000,0000;99838,3997;99804,4485;100000,0000;100000,0000;100000,0000;100000,0000;3432,0856;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96128,9185;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
7;100000,0000;71391,4784;99657,4202;99540,9768;99619,7177;99489,8599;99318,6661;99108,8368;100000,0000;99925,0141;99912,0193;99960,7038;99609,8457;99919,2163;99405,9032;99754,2040;99497,8226;99866,0714;99633,4380;99905,3533;99888,8793;99915,4673;99917,6957;99854,6511;99841,0674;99888,3663;99853,9880;98146,0181;95644,5408;98422,4070;98822,4552;98572,7912;98709,8384;98422,4070;99092,5174;98962,2630;99010,7723;100000,0000;99528,5968;99281,4078;99968,9024;99965,4030;99926,7134;99934,0109;99833,4107;99795,4697;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96924,0239;97035,4914;97122,0598;97229,1602;100000,0000;87866,5832;99820,8281;99780,0962;100000,0000;99097,0142;100000,0000;100000,0000;100000,0000;100000,0000;99820,8281;99780,0962;100000,0000;100000,0000;100000,0000;100000,0000;2114,1647;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;95564,6417;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
8;100000,0000;70695,4115;99645,6606;99515,3948;99606,6675;99461,4058;99295,4255;99059,2824;100000,0000;99886,0433;99872,0545;99945,8097;99596,4980;99882,2462;99372,8010;99745,2261;99482,8979;99859,0808;99622,4783;99899,7786;99879,5097;99910,7213;99912,1503;99838,5913;99822,4301;99877,4806;99837,7207;98000,7620;95408,2988;98298,3948;98710,2917;98459,4325;98586,9447;98298,3948;99056,8441;98918,7196;98931,5637;100000,0000;99512,4732;99241,3974;99957,1061;99952,3075;99893,1380;99903,8308;99818,1362;99773,8141;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96893,5958;97006,3223;97092,3654;97199,7892;100000,0000;87392,1037;99804,3577;99756,7477;100000,0000;98968,6836;100000,0000;100000,0000;100000,0000;100000,0000;99804,3577;99756,7477;100000,0000;100000,0000;100000,0000;100000,0000;1329,8096;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;95019,9232;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
9;100000,0000;70085,3101;99633,9024;99486,1373;99593,6190;99428,7825;99274,8713;99011,0405;100000,0000;99846,0889;99833,1044;99930,9178;99583,1521;99843,1922;99337,8218;99736,2490;99467,9755;99851,0921;99611,5198;99893,9045;99869,6516;99905,7657;99906,3154;99822,4019;99803,5154;99866,0056;99821,4090;97858,6609;95187,9056;98177,4878;98600,2199;98349,1579;98466,6785;98177,4878;99025,1459;98879,1521;98856,3757;100000,0000;99498,2429;99202,4948;99946,7106;99940,7130;99860,4729;99874,4591;99804,4611;99753,7596;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;96866,3437;96980,2458;97066,0944;97173,7629;100000,0000;87004,9567;99789,6865;99735,2002;100000,0000;98840,5192;100000,0000;100000,0000;100000,0000;100000,0000;99789,6865;99735,2002;100000,0000;100000,0000;100000,0000;100000,0000;853,7378;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;94493,5128;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000;100000,0000
