Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
6.566;4;0;6.32;6.87;0
6.44;4.065;0;6.16;6.65;6.51
6.216;4.14;0;6.02;6.36;6.61
5.913;4.25;0;5.89;5.9;6.69
5.698;4.365;4.5;5.78;5.39;6.77
5.516;4.495;4.55;5.68;5.12;6.87
5.411;4.604;4.6;5.6;4.96;6.97
5.383;5;4.64;5.53;4.88;7.08
5.383;5.276;4.69;5.47;4.81;7.19
5.411;5.448;4.74;5.44;4.85;7.32
5.432;5.532;4.81;5.42;4.88;7.15
5.453;5.544;4.93;5.41;4.98;7.59
5.509;5.551;5;5.42;5.11;7.74
5.579;5.556;5.08;5.44;5.25;7.9
5.656;5.562;5.16;5.18;5.41;8.07
5.751;5.569;5.26;5.53;5.61;8.21
5.859;5.576;5.3;5.6;5.83;8.43
5.957;5.584;5.5;5.68;6.05;8.62
6.069;5.593;5.7;5.78;6.27;8.83
6.195;5.607;5.91;5.9;6.48;9.01
6.335;5.623;6.11;6.03;6.67;9.26
6.496;5.612;6.29;6.17;6.84;9.49
6.685;5.689;6.45;6.33;6.99;9.72
6.881;5.74;6.64;6.51;7.12;9.97
7.084;5.96;6.81;6.7;7.24;10.23
7.301;6.16;6.95;6.9;7.36;10.5
7.511;6.31;7.1;7.12;7.49;10.77
7.728;6.5;7.29;7.36;7.63;11.06
7.938;6.784;7.45;7.61;7.78;11.35
8.162;6.952;7.6;7.88;7.96;11.66
8.414;7.028;7.75;8.16;8.18;11.97
8.708;7.041;7.95;8.45;8.46;12.29
9.03;7.056;8.22;8.76;8.82;12.63
9.38;7.074;8.47;9.09;9.27;12.97
9.765;7.095;8.7;9.43;9.82;13.32
10.113;7.12;9.15;9.79;10.41;13.69
10.549;7.147;9.6;10.16;11.02;14.06
10.976;7.178;10.1;10.55;11.65;14.45
11.473;7.212;10.77;10.95;12.28;14.84
12.012;7.596;11.45;11.37;12.92;15.24
12.586;8.121;12.2;11.8;13.56;15.66
13.209;8.768;12.9;12.25;11.2;16.08
13.853;9.5;13.67;12.72;11.84;16.52
14.518;10.748;14.46;13.9;15.18;16.97
15.253;11.724;15.31;13.69;16.12;17.42
16.044;12.476;16.2;14.2;16.76;17.89
16.863;13.052;17;11.72;17.4;18.37
17.703;13.5;17.7;15.26;18.04;18.86
18.55;14.172;18.18;15.81;18.68;19.36
19.383;11.736;19.26;16.38;19.32;19.87
20.258;15.161;19.95;16.97;19.96;20.39
21.41;15.128;20.74;17.57;20.61;20.93
21.991;15.5;21.8;18.18;21.26;21.17
22.729;16.188;23.5;18.81;21.92;22.03
1;17.081;25.9;19.46;22.5;22.6
1;18.236;1;20.12;23.27;23.18
1;19.692;1;20.8;23.96;23.78
1;21.5;1;21.49;21.67;21.37
1;25;1;22.19;25.41;21.98
1;1;1;22.92;26.19;25.61
1;1;1;23.65;27.02;26.25
1;1;1;21.4;27.92;26.89
1;1;1;25.17;28.92;27.56
1;1;1;25.95;30.01;28.23
1;1;1;26.75;31.31;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
1;1;1;1;1;1
