BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES)
0;0;0.462;0;0;0;0;0;0;0;0;0;0
0;0;0.449;0;0;0;0;0;0;0;0;0;0
0;0;0.436;0;0;0;0;0;0;0;0;0;0
0;0;0.423;0;0;0;0;0;0;0;0;0;0
0;0;0.41;0;0;0;0;0;0;0;0;0;0
0;0;0.397;0;0;0;0;0;0;0;0;0;0
0;0;0.384;0;0;0;0;0;0;0;0;0;0
0;0;0.371;0;0;0;0;0;0;0;0;0;0
0;0;0.358;0;0;0;0;0;0;0;0;0;0
0;0;0.345;0;0;0;0;0;0;0;0;0;0
0;0;0.332;0;0;0;0;0;0;0;0;0;0
0;0;0.319;0;0;0;0;0;0;0;0;0;0
0;0;0.306;0;0;0;0;0;0;0;0;0;0
0;0;0.293;0;0;0;0;0;0;0;0;0;0
0;0.1796856216766;0.28;0;0;0;0;0;0;0;0;0;0
0;0.174566269016615;0.267;0.1107;0.1223;0;0;0;;0.00005;0;0;0
0;0.169577508753766;0.254;0.1083;0.1182;0;0;0;0.026;0.00005;0;0;0.1182
0;0.16471779391803;0.241;0.106;0.1141;0;0;0;0.026;0.00005;0;0;0.1141
0;0.15998558632915;0.229;0.1037;0.11;0;0;0;0.026;0.00005;0;0;0.11
0;0.1553793631697;0.217;0.1015;0.106;0;0;0;0.026;0.00005;0;0;0.106
0.1044;0.150897623436613;0.205;0.0994;0.102;0.1;0;0;0.026;0.00005;0.0084;0.102;0.102
0.1005;0.146538894293629;0.193;0.0973;0.0981;0.1;0.00745;0.022571;0.026;0.00005;0.00853;0.0981;0.0981
0.0966;0.142301737345193;0.182;0.0952;0.0943;0.1;0.00745;0.022571;0.026;0.00005;0.00872;0.0943;0.0943
0.0927;0.138184754841653;0.171;0.0933;0.0905;0.1;0.00745;0.022571;0.026;0.00005;0.00891;0.0905;0.0905
0.0888;0.134186595852106;0.161;0.0914;0.0868;0.1;0.00745;0.022571;0.026;0.00005;0.0091;0.0868;0.0868
0.0849;0.130305962402184;0.151;0.0895;0.0831;0.1;0.00745;0.022571;0.026;0.00005;0.0093;0.0831;0.0831
0.081;0.126541615620187;0.141;0.0877;0.0795;0.1;0.00745;0.022571;0.026;0.00005;0.00951;0.0795;0.0795
0.0769;0.122892381893495;0.132;0.086;0.0757;0.1;0.00745;0.022571;0.026;0.00005;0.00973;0.0757;0.0757
0.0729;0.119357159070878;0.123;0.0843;0.072;0.1;0.00745;0.022571;0.026;0.00004;0.00996;0.072;0.072
0.0691;0.115934922730233;0.114;0.0827;0.0685;0.1;0.00745;0.022571;0.026;0.00004;0.01021;0.0685;0.0685
0.0667;0.112624732522346;0.106;0.0811;0.0656;0.1;0.00745;0.022571;0.026;0.00004;0.01048;0.0656;0.0656
0.0652;0.109425738633837;0.1;0.0796;0.064;0.095;0.00745;0.022571;0.026;0.00004;0.01077;0.064;0.064
