Idade;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
0;1;0,8453;0,998385;0,99792;0,998206;0,997689;0,99679;0,99596;1;1;1;1;0,998165;1;0,99731;0,99872;0,99726;0,99962;0,998;0,9995849;0,9996089;0,9996562;0,9996628;0,999645475;0,999629203;0,999707398;0,999647327;0,99168;0,97742;0,99292;0,9960579;0,9938;0,9955705;0,99292;0,99452;0,99367;0,99582;1;0,997781;0,996745;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,975109476;0,975964188;0,976704817;0,977532709;1;0,96398;1;1;1;0,998705;1;1;1;1;1;1;1;1;1;1;0,538;1;1;1;1;1;1;1;1;1;1;1;1;0,9929;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0,93651;0,99932;0,999185;0,999245;0,999094;0,99864;0,99842;1;1;1;1;0,999222;1;0,998947;0,99954;0,99905;0,99962;0,99931;0,9998157;0,9997975;0,9998473;0,9998432;0,999774392;0,999757915;0,999807888;0,999773614;0,99793;0,99423;0,99824;0,9984599;0,99833;0,99836;0,99824;0,99906;0,999;0,99893;1;0,99906;0,998726;1;1;1;1;0,999469;0,999408;1;1;1;1;1;1;1;1;0,99770795;0,997817543;0,997708784;0,997848322;1;0,97251;0,999429;0,999363;1;0,998705;1;1;1;1;0,999429;0,999363;1;1;1;1;0,551;1;1;1;1;1;1;1;1;1;1;1;1;0,99313;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;0,9645;0,999647;0,999546;0,999608;0,999496;0,999297;0,999113;1;1;1;1;0,999598;1;0,999409;0,99975;0,99952;0,9998;0,99965;0,9998952;0,999865;0,9998841;0,9999059;0,999804665;0,99978708;0,999845444;0,99980365;0,99821;0,99586;0,99848;0,9986199;0,99859;0,9985099;0,99848;0,99933;0,99925;0,99901;1;0,999514;0,999285;1;1;1;1;0,999654;0,9996;1;1;1;1;1;1;1;1;0,998745046;0,998801938;0,998812115;0,998867584;1;0,97915;0,999628;0,99957;1;0,998705;1;1;1;1;0,999628;0,99957;1;1;1;1;0,564;1;1;1;1;1;1;1;1;1;1;1;1;0,99335;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;0,97609;0,999739;0,999633;0,99971;0,999592;0,999479;0,999285;1;1;1;1;0,999702;1;0,999524;0,99984;0,9997;0,99987;0,99978;0,9999268;0,9998932;0,9999209;0,9999312;0,99981986;0,999800887;0,999865799;0,999818613;0,99828;0,99662;0,99854;0,99868;0,99865;0,99857;0,99854;0,9994;0,99932;0,99902;1;0,99964;0,999424;1;1;1;1;0,999742;0,999668;1;1;1;1;1;1;1;1;0,999078266;0,999119807;0,999221631;0,999249957;1;0,98425;0,999722;0,999643;1;0,998705;1;1;1;1;0,999722;0,999643;1;1;1;1;0,577;1;1;1;1;1;1;1;1;1;1;1;1;0,99356;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;1;0,9823;0,999791;0,999679;0,999768;0,999643;0,999581;0,999373;1;1;1;1;0,99976;1;0,999583;0,99988;0,99978;0,9999;0,99984;0,99994;0,9999052;0,9999424;0,9999418;0,999828887;0,999808381;0,999878566;0,999827314;0,99835;0,99701;0,9986;0,998735;0,99871;0,9986251;0,9986;0,99947;0,99939;0,99905;1;0,99971;0,999495;1;1;1;1;0,999806;0,999741;1;1;1;1;1;1;1;1;0,999300602;0,999341356;0,999432343;0,999448319;1;0,98813;0,999792;0,999722;1;0,998705;1;1;1;1;0,999792;0,999722;1;1;1;1;0,59;1;1;1;1;1;1;1;1;1;1;1;1;0,99376;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;1;0,9864;0,999829;0,999709;0,999811;0,999676;0,999661;0,999434;1;0,99963;0,99954;0,999785;0,999806;0,999581;0,999623;0,9999;0,99982;0,99992;0,99987;0,9999449;0,9999094;0,9999506;0,9999457;0,999834503;0,99981233;0,999886814;0,999832624;0,99841;0,99724;0,99865;0,998785;0,99876;0,998675;0,99865;0,99953;0,99945;0,9991;1;0,999766;0,999544;0,999829;0,99981;0,99962;0,999658;0,999825;0,999763;1;1;1;1;1;1;1;1;0,999520672;0,999531376;0,999558353;0,999567776;1;0,99103;0,999812;0,999745;1;0,998705;1;1;1;1;0,999812;0,999745;1;1;1;1;0,603;1;1;1;1;1;1;1;1;1;1;1;1;0,99395;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;1;0,98863;0,999859;0,99973;0,999844;0,999699;0,999722;0,999474;1;0,99962;0,99958;0,999822;0,99984;0,999611;0,99965;0,99991;0,99984;0,99993;0,99988;0,9999457;0,9999091;0,9999529;0,9999461;0,999837836;0,999813807;0,999891232;0,999835838;0,99847;0,99739;0,9987;0,99883;0,99881;0,9987199;0,9987;0,99959;0,99951;0,99914;1;0,999807;0,999576;0,99986;0,999844;0,999647;0,999682;0,999837;0,999773;1;1;1;1;1;1;1;1;0,9996145;0,999627869;0,99963989;0,999645601;1;0,99313;0,999824;0,999756;1;0,998705;1;1;1;1;0,999824;0,999756;1;1;1;1;0,616;1;1;1;1;1;1;1;1;1;1;1;1;0,99413;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;1;0,99025;0,999882;0,999743;0,999869;0,999714;0,999766;0,9995;1;0,99961;0,9996;0,999851;0,999866;0,99963;0,999667;0,99991;0,99985;0,99993;0,99989;0,9999442;0,9999062;0,9999525;0,9999445;0,999839168;0,999813331;0,999891021;0,999837089;0,99852;0,99753;0,99874;0,998865;0,99885;0,998755;0,99874;0,99964;0,99956;0,9992;1;0,999838;0,999597;0,999882;0,999869;0,999664;0,999698;0,999847;0,999783;1;1;1;1;1;1;1;1;0,999686062;0,999699398;0,999694257;0,99969792;1;0,9946;0,999835;0,999766;1;0,998705;1;1;1;1;0,999835;0,999766;1;1;1;1;0,629;1;1;1;1;1;1;1;1;1;1;1;1;0,9943;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;1;0,99137;0,999882;0,999706;0,999869;0,999672;0,999793;0,999513;1;0,9996;0,99961;0,999851;0,999866;0,999609;0,999648;0,99991;0,99985;0,99992;0,99989;0,9999412;0,9999013;0,9999504;0,9999416;0,999837844;0,999810517;0,999885109;0,999836618;0,99855;0,99769;0,99877;0,9988849;0,99888;0,9987801;0,99877;0,99968;0,9996;0,99924;1;0,999857;0,999608;0,999896;0,999884;0,999673;0,999706;0,999863;0,999799;1;1;1;1;1;1;1;1;0,999718742;0,999731187;0,999729423;0,999732239;1;0,99557;0,999853;0,999784;1;0,998705;1;1;1;1;0,999853;0,999784;1;1;1;1;0,642;1;1;1;1;1;1;1;1;1;1;1;1;0,99446;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1;0,9921;0,999879;0,999675;0,999866;0,999638;0,999807;0,999518;1;0,99959;0,99961;0,999849;0,999864;0,999591;0,999632;0,99989;0,99984;0,99991;0,99988;0,9999373;0,9998948;0,9999474;0,9999376;0,999832374;0,999803899;0,999872877;0,999833681;0,99858;0,99788;0,99879;0,9988901;0,99889;0,99879;0,99879;0,9997;0,99963;0,99926;1;0,999866;0,999611;0,999903;0,999892;0,999676;0,999708;0,99987;0,999806;1;1;1;1;1;1;1;1;0,999726888;0,999739385;0,999748554;0,999751646;1;0,99612;0,99986;0,999791;1;0,998705;1;1;1;1;0,99986;0,999791;1;1;1;1;0,655;1;1;1;1;1;1;1;1;1;1;1;1;0,99461;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;0,99251;0,999874;0,99965;0,99986;0,99961;0,999809;0,999517;0,999517;0,99958;0,99961;0,999844;0,999859;0,999576;0,999618;0,99986;0,99982;0,99988;0,99987;0,9999325;0,9998859;0,9999435;0,9999327;0,999820862;0,999790844;0,999854557;0,999826833;0,99858;0,99803;0,99879;0,998885;0,99889;0,99878;0,99879;0,99971;0,99964;0,99927;1;0,999868;0,99961;0,999904;0,999893;0,999675;0,999707;0,999869;0,999803;1;1;1;1;1;1;1;1;0,999724793;0,999737637;0,999751563;0,999756283;1;0,99636;0,999859;0,999788;1;0,998705;1;1;1;1;0,999859;0,999788;1;1;1;1;0,668;1;1;1;1;1;1;1;1;1;1;1;1;0,99475;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;1;0,99248;0,999867;0,999629;0,999852;0,999587;0,999792;0,999508;0,999508;0,99957;0,9996;0,999837;0,999853;0,999562;0,999606;0,99982;0,99979;0,99985;0,99985;0,999927;0,9998723;0,999939;0,9999262;0,999802033;0,999767438;0,999831516;0,999813796;0,99855;0,99809;0,99877;0,9988699;0,99888;0,998755;0,99877;0,99971;0,99963;0,99923;1;0,999857;0,999603;0,999896;0,999884;0,999669;0,999702;0,999862;0,999792;1;1;1;1;1;1;1;1;0,999716527;0,999729832;0,999735343;0,999743623;1;0,99634;0,999857;0,999781;1;0,998705;1;1;1;1;0,999852;0,999777;1;1;1;1;0,681;1;1;1;1;1;1;1;1;1;1;1;1;0,99488;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;1;0,99246;0,999858;0,999612;0,999842;0,999569;0,999775;0,999498;0,999498;0,999559;0,99959;0,999828;0,999845;0,99955;0,999595;0,99978;0,99974;0,99982;0,99981;0,9999209;0,9998491;0,9999336;0,9999169;0,999775941;0,999730034;0,999805656;0,9997903;0,99852;0,99808;0,99874;0,9988451;0,99886;0,99871;0,99874;0,9997;0,99961;0,99915;1;0,999845;0,999595;0,999887;0,999874;0,999662;0,999696;0,999852;0,999774;1;1;1;1;1;1;1;1;0,999685763;0,999693473;0,999693143;0,999707999;1;0,99613;0,999852;0,999772;1;0,998705;1;1;1;1;0,999841;0,999757;1;1;1;1;0,694;1;1;1;1;1;1;1;1;1;1;1;1;0,995;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
